instance_name,solver_name,total_distance_km,solve_time_seconds,optimality_gap_percent,num_locations,source_file
clustered_location_9,Nearest Neighbor,37.381,5.412101745605469e-05,3.3823773438796363,10,visualization/output/clustered_location_9_routes.json
clustered_location_9,RL Solver,39.111000000000004,0.0027468204498291016,8.166934011836947,10,visualization/output/clustered_location_9_routes.json
,,,,,,
dense_location_1,Branch & Bound,4.287,0.008400201797485352,2.0717947742013655e-14,10,visualization/output/dense_location_1_routes.json
dense_location_1,Held-Karp (DP),4.286999999999999,0.010133981704711914,0.0,10,visualization/output/dense_location_1_routes.json
dense_location_1,Nearest Neighbor,5.273,2.5987625122070312e-05,22.999766736645693,10,visualization/output/dense_location_1_routes.json
dense_location_1,RL Solver,5.464,0.006135225296020508,27.455096804292083,10,visualization/output/dense_location_1_routes.json
,,,,,,
dense_location_10,Branch & Bound,8.56,0.0687570571899414,0.0,10,visualization/output/dense_location_10_routes.json
dense_location_10,Held-Karp (DP),8.56,0.0041463375091552734,0.0,10,visualization/output/dense_location_10_routes.json
dense_location_10,Nearest Neighbor,9.359,6.413459777832031e-05,9.334112149532704,10,visualization/output/dense_location_10_routes.json
dense_location_10,RL Solver,9.119,0.0060350894927978516,6.530373831775692,10,visualization/output/dense_location_10_routes.json
,,,,,,
dense_location_11,Branch & Bound,7.961,14.438567161560059,0.0,15,visualization/output/dense_location_11_routes.json
dense_location_11,Held-Karp (DP),7.961,0.262310266494751,0.0,15,visualization/output/dense_location_11_routes.json
dense_location_11,Nearest Neighbor,9.672,9.298324584960938e-05,21.492274839844246,15,visualization/output/dense_location_11_routes.json
dense_location_11,RL Solver,11.92,0.009608983993530273,49.729933425449055,15,visualization/output/dense_location_11_routes.json
,,,,,,
dense_location_12,Branch & Bound,16.410999999999998,8.976213932037354,0.0,15,visualization/output/dense_location_12_routes.json
dense_location_12,Held-Karp (DP),16.410999999999998,0.2620220184326172,0.0,15,visualization/output/dense_location_12_routes.json
dense_location_12,Nearest Neighbor,18.001999999999995,7.081031799316406e-05,9.694716958137821,15,visualization/output/dense_location_12_routes.json
dense_location_12,RL Solver,19.31,0.012788057327270508,17.664980805557256,15,visualization/output/dense_location_12_routes.json
,,,,,,
dense_location_13,Branch & Bound,21.837,369.7152202129364,0.0,15,visualization/output/dense_location_13_routes.json
dense_location_13,Held-Karp (DP),21.837,0.25460290908813477,0.0,15,visualization/output/dense_location_13_routes.json
dense_location_13,Nearest Neighbor,23.915,8.893013000488281e-05,9.515959151898151,15,visualization/output/dense_location_13_routes.json
